rgn_id,year,jobs_all
0,2000,22134e3
5,2000,687e3
4,2000,4224e3
10,2000,1408e3
9,2000,1415e3
14,2000,592e3
13,2000,1148e3
15,2000,608e3
1,2000,1757e3
12,2000,4917e3
3,2000,456e3
2,2000,1163e3
8,2000,1014e3
7,2000,87e4
11,2000,268e3
6,2000,917e3
16,2000,69e4
0,2001,22471e3
5,2001,678e3
4,2001,4395e3
10,2001,1427e3
9,2001,1412e3
14,2001,608e3
13,2001,1177e3
15,2001,637e3
1,2001,1743e3
12,2001,4965e3
3,2001,465e3
2,2001,1195e3
8,2001,1009e3
7,2001,878e3
11,2001,271e3
6,2001,922e3
16,2001,691e3
0,2002,22921e3
5,2002,696e3
4,2002,4614e3
10,2002,1438e3
9,2002,1409e3
14,2002,627e3
13,2002,1206e3
15,2002,667e3
1,2002,1773e3
12,2002,4999e3
3,2002,485e3
2,2002,1227e3
8,2002,1005e3
7,2002,863e3
11,2002,278e3
6,2002,933e3
16,2002,7e5
0,2003,22956500
5,2003,678300
4,2003,4783600
10,2003,1482700
9,2003,1401200
14,2003,62e4
13,2003,1197600
15,2003,664300
1,2003,1678700
12,2003,4980900
3,2003,491600
2,2003,1232700
8,2003,980900
7,2003,860300
11,2003,286e3
6,2003,928600
16,2003,689100
0,2004,23417e3
5,2004,684300
4,2004,5059700
10,2004,1507800
9,2004,1402500
14,2004,630500
13,2004,1224200
15,2004,676900
1,2004,1685700
12,2004,5067500
3,2004,506500
2,2004,1248600
8,2004,954600
7,2004,845600
11,2004,284800
6,2004,941900
16,2004,695900
0,2005,23742800
5,2005,682500
4,2005,5249800
10,2005,1510900
9,2005,1397300
14,2005,646900
13,2005,1233100
15,2005,675700
1,2005,1697600
12,2005,5135400
3,2005,510700
2,2005,1257400
8,2005,952500
7,2005,848300
11,2005,290700
6,2005,956200
16,2005,697900
0,2006,23978200
5,2006,689300
4,2006,5422300
10,2006,1518700
9,2006,1393400
14,2006,645500
13,2006,1218e3
15,2006,691600
1,2006,1698100
12,2006,5137500
3,2006,508700
2,2006,1284900
8,2006,933500
7,2006,849800
11,2006,294800
6,2006,991100
16,2006,700900
0,2007,24215700
5,2007,684100
4,2007,5585400
10,2007,1538700
9,2007,1376400
14,2007,659200
13,2007,1199800
15,2007,709100
1,2007,1682200
12,2007,5147500
3,2007,528200
2,2007,1311200
8,2007,920400
7,2007,847900
11,2007,294800
6,2007,1021100
16,2007,709500
0,2008,24346600
5,2008,685700
4,2008,5713100
10,2008,1564900
9,2008,1382e3
14,2008,662600
13,2008,1184700
15,2008,721900
1,2008,1659200
12,2008,5122400
3,2008,545200
2,2008,1317200
8,2008,922500
7,2008,847800
11,2008,295600
6,2008,996e3
16,2008,725800
0,2009,24394300
5,2009,694400
4,2009,5761e3
10,2009,1567800
9,2009,1384500
14,2009,673e3
13,2009,1199900
15,2009,724100
1,2009,1639100
12,2009,5063600
3,2009,544100
2,2009,1354500
8,2009,923900
7,2009,841800
11,2009,293400
6,2009,990700
16,2009,738600
0,2010,24748400
5,2010,685e3
4,2010,5912700
10,2010,1576300
9,2010,1399800
14,2010,688100
13,2010,1218200
15,2010,728e3
1,2010,1632700
12,2010,5179600
3,2010,553400
2,2010,1390300
8,2010,903900
7,2010,835400
11,2010,288700
6,2010,1002900
16,2010,753200
0,2011,25098900
5,2011,691e3
4,2011,6044800
10,2011,1616500
9,2011,1392900
14,2011,691500
13,2011,1213900
15,2011,739200
1,2011,1633e3
12,2011,5251500
3,2011,559200
2,2011,1428500
8,2011,903600
7,2011,848800
11,2011,296300
6,2011,1024599.9999999999
16,2011,763600
0,2012,25500600
5,2012,711100
4,2012,6125700
10,2012,1618300
9,2012,1413300
14,2012,704100
13,2012,1245200
15,2012,753200
1,2012,1693e3
12,2012,5258200
3,2012,561400
2,2012,1480400
8,2012,925500
7,2012,864e3
11,2012,300700
6,2012,1080200
16,2012,766200
0,2013,25873400
5,2013,714800
4,2013,6171900
10,2013,1652800
9,2013,1430400
14,2013,729300
13,2013,1236600
15,2013,759100
1,2013,1709700
12,2013,5307200
3,2013,557700
2,2013,1504500
8,2013,934300
7,2013,893200
11,2013,310200
6,2013,1169800
16,2013,791900
0,2014,26535900
5,2014,733900
4,2014,6442300
10,2014,1673e3
9,2014,1463200
14,2014,757500
13,2014,1263500
15,2014,792200
1,2014,1733200
12,2014,5386400
3,2014,560800
2,2014,1541200
8,2014,936e3
7,2014,897100
11,2014,322900
6,2014,1197700
16,2014,834900
0,2015,26912600
5,2015,756200
4,2015,6625600
10,2015,1707700
9,2015,1456900
14,2015,762900
13,2015,1279e3
15,2015,804900
1,2015,1727800
12,2015,5362100
3,2015,577800
2,2015,1567500
8,2015,947800
7,2015,909300
11,2015,339700
6,2015,1237400
16,2015,85e4
0,2016,27247200
5,2016,764800
4,2016,6785200
10,2016,1740300
9,2016,1466200
14,2016,761700
13,2016,1287900
15,2016,801400
1,2016,1727500
12,2016,5352500
3,2016,592600
2,2016,1600200
8,2016,957e3
7,2016,928100
11,2016,361100
6,2016,1268200
16,2016,852400
